engine,asset_class,score_group,symbol,regime,timeframe_style,parameter_set,trade_count,pass_count,fail_count,win_rate,expectancy,max_drawdown,sqn,average_rr_achieved,level_mode,fallback_tp_applied,sample_size_warning,robust_rank_score,sample_period,split_label,parameter_variants_tested,threshold_candidate,threshold_filter_applied,raw_source_count,admitted_count,excluded_by_threshold_count,threshold_filter_reason,parameters
ENGINE_A,,,USD/MXN,LOW_VOLATILITY,intraday,engine_a_7cdb713afb,1,0,1,0.0,-1.01,,,-1.01,,,True,-0.07575,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,LINK/USDT,TRENDING,intraday,engine_a_7cdb713afb,1,0,1,0.0,-1.01,,,-1.01,,,True,-0.07575,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,USD/MXN,LOW_VOLATILITY,intraday,engine_a_5571bb36e3,1,0,1,0.0,-1.01,,,-1.01,,,True,-0.07575,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,LINK/USDT,TRENDING,intraday,engine_a_5571bb36e3,1,0,1,0.0,-1.01,,,-1.01,,,True,-0.07575,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,USD/MXN,LOW_VOLATILITY,intraday,engine_a_c31f75f84f,1,0,1,0.0,-1.01,,,-1.01,,,True,-0.07575,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,LINK/USDT,TRENDING,intraday,engine_a_c31f75f84f,1,0,1,0.0,-1.01,,,-1.01,,,True,-0.07575,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_ea5c512ce2,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_afbcd9886b,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_290ebb0652,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_c3e472de24,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_43d6f1c8a4,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_c5fb874f2a,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_7cdb713afb,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_5571bb36e3,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,ALGO/USDT,DEVELOPING,swing,engine_a_c31f75f84f,1,0,1,0.0,-1.09,,,-1.09,,,True,-0.08175,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_ea5c512ce2,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_afbcd9886b,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_290ebb0652,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_c3e472de24,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_43d6f1c8a4,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_c5fb874f2a,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_7cdb713afb,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_5571bb36e3,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,Hang Seng,LOW_VOLATILITY,intraday,engine_a_c31f75f84f,2,0,2,0.0,-0.6,,,-0.6,,,True,-0.09,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_ea5c512ce2,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_afbcd9886b,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_290ebb0652,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_c3e472de24,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_43d6f1c8a4,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_c5fb874f2a,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_7cdb713afb,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_5571bb36e3,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,DAX 40,TRENDING,swing,engine_a_c31f75f84f,2,0,2,0.0,-0.64,,,-0.64,,,True,-0.096,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_ea5c512ce2,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_afbcd9886b,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_290ebb0652,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_c3e472de24,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_43d6f1c8a4,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_c5fb874f2a,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_7cdb713afb,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_5571bb36e3,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,USD/CHF,LOW_VOLATILITY,intraday,engine_a_c31f75f84f,6,4,2,0.666667,-0.223333,,,-0.223333,,,True,-0.1005,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_ea5c512ce2,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_afbcd9886b,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_290ebb0652,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_c3e472de24,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_43d6f1c8a4,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_c5fb874f2a,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_7cdb713afb,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_5571bb36e3,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,GBP/AUD,LOW_VOLATILITY,scalp,engine_a_c31f75f84f,6,4,2,0.666667,-0.325,,,-0.325,,,True,-0.14625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.03, ""volatility_scaler_low"": 0.006}"
ENGINE_A,,,AUD/NZD,LOW_VOLATILITY,scalp,engine_a_ea5c512ce2,4,2,2,0.5,-0.51,,,-0.51,,,True,-0.153,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,AUD/USD,LOW_VOLATILITY,scalp,engine_a_ea5c512ce2,2,0,2,0.0,-1.02,,,-1.02,,,True,-0.153,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.02, ""volatility_scaler_low"": 0.004}"
ENGINE_A,,,AUD/NZD,LOW_VOLATILITY,scalp,engine_a_afbcd9886b,4,2,2,0.5,-0.51,,,-0.51,,,True,-0.153,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.004}"
